"ID";"Title";"Root";"Category";"Release Date";"Price";"Scale";"Barcode";"Status";"Count";"Score";"Payment date";"Shipping date";"Collecting date";"Price";"Shop";"Shipping method";"Tracking number";"Wishability";"Note"
"1639839";"Kimetsu no Yaiba - Hashibira Inosuke - Noodle Stopper Figure (FuRyu)";"Figuras";"Prepainted";"2023-02-00";"0";"";"";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"4";""
"1311067";"Piapro Characters - Hatsune Miku - Artist MasterPiece - Alice ver. (Taito)";"Figuras";"Prepainted";"2024-05-11";"0";"";"";"Owned";"1";"10/10";"2024-08-26";"0000-00-00";"2024-09-27";"29.23";"AmiAmi";"n/a";"";"0";""
"1389961";"Mushoku Tensei ~Isekai Ittara Honki Dasu~ - Roxy Migurdia - 1/8 (Kotobukiya)";"Figuras";"Prepainted";"2025-05-00";"17000";"1/8";"4934054070169";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"3";""
"1605145";"Yofukashi no Uta - Nanakusa Nazuna - PM Figure - Nurse Fuku Ver. (SEGA)";"Figuras";"Prepainted";"2024-01-26";"0";"";"";"Owned";"1";"8/10";"2023-03-12";"2023-03-16";"2023-04-10";"204.10";"eBay";"n/a";"";"0";""
"1120299";"No Game No Life: Zero - Schwi Dola - Pop Up Parade (Good Smile Company)";"Figuras";"Prepainted";"2021-05-27";"3545";"";"4580416942645";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"3";""
"1607142";"Bleach - Hitsugaya Toushirou - Solid and Souls (Bandai Spirits)";"Figuras";"Prepainted";"2022-12-06";"0";"";"";"Owned";"1";"5/10";"2024-11-16";"2024-11-30";"2024-12-19";"22.98";"Buyee";"n/a";"";"0";""
"945888";"Eiga Kono Subarashii Sekai ni Shukufuku o! Kurenai Densetsu - Megumin - Pop Up Parade (Max Factory)";"Figuras";"Prepainted";"2022-06-22";"3545";"";"4545784043271";"Owned";"1";"8/10";"2025-01-12";"0000-00-00";"2025-02-21";"249.95";"Buyee";"n/a";"";"0";""
"16888";"Bleach - Sarugaki Hiyori - 1/8 (Alpha x Omega)";"Figuras";"Prepainted";"2010-02-00";"6300";"1/8";"4535123712357";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";""
"1714405";"Naruto Shippuuden - Uzumaki Naruto - TV Anime 20 Shuunenkinen Ishou (Bandai Spirits)";"Figuras";"Prepainted";"2023-07-00";"0";"";"";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";""
"1714406";"Naruto Shippuuden - Uchiha Sasuke - TV Anime 20 Shuunenkinen Ishou (Bandai Spirits)";"Figuras";"Prepainted";"2023-07-00";"0";"";"";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";""
"1633271";"Kimetsu no Yaiba - Hashibira Inosuke - Kimetsu no Yaiba Figure -Kizuna no Sou- (Bandai Spirits)";"Figuras";"Prepainted";"2023-03-00";"0";"";"";"Owned";"1";"8/10";"2023-06-21";"0000-00-00";"0000-00-00";"36.29";"AmiAmi";"n/a";"";"0";""
"1999870";"Final Fantasy VII Rebirth - Tifa Lockhart - Final Fantasy VII Rebirth Hatsubai Kinen Kuji  (End Prize) (Square Enix)";"Figuras";"Prepainted";"2024-03-02";"800";"";"";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";""
"287743";"Kill la Kill - Mankanshoku Mako - Nendoroid  (#515) - Fight Club Specialized Two-Star Goku Uniform ver. (Good Smile Company)";"Figuras";"Action/Dolls";"2015-11-24";"4167";"";"4580416900034";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"3";""
"1103426";"Kimetsu no Yaiba - Iguro Obanai - Kimetsu no Yaiba Figure -Kizuna no Sou-  (Vol.15) (Bandai Spirits)";"Figuras";"Prepainted";"2021-05-13";"0";"";"";"Owned";"1";"6/10";"0000-00-00";"0000-00-00";"2023-08-26";"32.85";"AmiAmi";"n/a";"";"0";""
"1999869";"Final Fantasy VII Rebirth - Cloud Strife - Final Fantasy VII Rebirth Hatsubai Kinen Kuji  (A Prize) (Square Enix)";"Figuras";"Prepainted";"2024-03-02";"800";"";"";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";""
"1156510";"Kimetsu no Yaiba - Kamado Nezuko - Kimetsu no Yaiba Figure -Kizuna no Sou-  (Vol.17) (Bandai Spirits)";"Figuras";"Prepainted";"2021-08-26";"0";"";"4983164177442";"Owned";"1";"8/10";"2024-01-08";"2024-01-19";"2024-02-24";"16.60";"AmiAmi";"n/a";"";"0";""
"1436468";"Boku no Hero Academia - Bakugo Katsuki - The  Amazing Heroes  (Special) (Bandai Spirits)";"Figuras";"Prepainted";"2022-05-26";"0";"";"";"Owned";"1";"9/10";"2024-01-08";"2024-01-19";"2024-02-24";"23.24";"AmiAmi";"n/a";"";"0";""
"822782";"Tensei Shitara Slime Datta Ken - Rimuru Tempest - EXQ Figure - ver.2 (Bandai Spirits)";"Figuras";"Prepainted";"2019-08-09";"0";"";"";"Owned";"1";"8/10";"2024-01-08";"2024-01-19";"2024-02-24";"25.90";"AmiAmi";"n/a";"";"0";""
"1436467";"Boku no Hero Academia - Midoriya Izuku - The  Amazing Heroes  (Special) (Bandai Spirits)";"Figuras";"Prepainted";"2022-05-26";"0";"";"";"Owned";"1";"8/10";"2024-03-16";"0000-00-00";"2024-04-17";"39.55";"AmiAmi";"n/a";"";"0";""
"1195591";"Boku no Hero Academia - Todoroki Shoto - The  Amazing Heroes  (Vol.15) (Bandai Spirits)";"Figuras";"Prepainted";"2021-11-25";"0";"";"";"Owned";"1";"8/10";"2024-03-16";"0000-00-00";"2024-04-17";"26.15";"AmiAmi";"n/a";"";"0";""
"1974522";"Wonder Egg Priority - Ohto Ai - Coreful Figure - Nikkori ver. (Taito)";"Figuras";"Prepainted";"2024-03-09";"0";"";"";"Owned";"1";"9/10";"2024-06-17";"2024-06-19";"2024-07-19";"26.83";"AmiAmi";"n/a";"";"0";""
"1464645";"Kono Subarashii Sekai ni Shukufuku o! - Satou Kazuma - Pop Up Parade (Max Factory)";"Figuras";"Prepainted";"2022-07-27";"3545";"";"4545784043264";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"3";""
"945881";"Eiga Kono Subarashii Sekai ni Shukufuku o! Kurenai Densetsu - Aqua - Pop Up Parade (Max Factory)";"Figuras";"Prepainted";"2022-11-28";"4364";"";"4545784043363";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"4";""
"945864";"Eiga Kono Subarashii Sekai ni Shukufuku o! Kurenai Densetsu - Dustiness Ford Lalatina - Pop Up Parade (Max Factory)";"Figuras";"Prepainted";"2021-06-23";"3545";"";"4545784042984";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"2";""
"197993";"Kill la Kill - Matoi Ryuuko - Senketsu - Nendoroid  (#407) (Good Smile Company)";"Figuras";"Action/Dolls";"2017-09-26";"3611";"";"4571368443854";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"2";""
"813873";"Zelda no Densetsu: Breath of the Wild - Gou Gou Gaeru - Zelda Hime - Nendoroid  (#1212) - Breath of the Wild Ver. (Good Smile Company)";"Figuras";"Action/Dolls";"2023-12-18";"6182";"";"4580590176041";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"1";""
"1750952";"Ijiranaide, Nagatoro-san 2nd Attack - Nagatoro Hayase - Nendoroid  (#2098) (Good Smile Company)";"Figuras";"Action/Dolls";"2023-10-26";"6182";"";"4580590173811";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"1";""
"641151";"Re:Zero kara Hajimeru Isekai Seikatsu - Rem - PM Figure - Curtsey (SEGA)";"Figuras";"Prepainted";"2018-06-22";"0";"";"";"Owned";"1";"8/10";"2024-09-06";"0000-00-00";"2024-09-27";"97.96";"AmiAmi";"n/a";"";"0";""
"641152";"Re:Zero kara Hajimeru Isekai Seikatsu - Ram - PM Figure - Curtsey (SEGA)";"Figuras";"Prepainted";"2018-07-27";"0";"";"";"Owned";"1";"8/10";"2024-09-27";"0000-00-00";"2024-11-01";"75.68";"AmiAmi";"n/a";"";"0";""
"2209689";"Boku no Hero Academia - Toga Himiko - Ichiban Kuji - Ichiban Kuji Boku no Hero Academia Let You Down  (Last One Prize) - Masterlise - Last One Ver. (Bandai Spirits)";"Figuras";"Prepainted";"2024-07-27";"682";"";"";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";""
"1851304";"Naruto Shippuuden - Rock Lee - Vibration Stars - II (Bandai Spirits)";"Figuras";"Prepainted";"2023-10-11";"0";"";"";"Owned";"1";"5/10";"2024-08-11";"0000-00-00";"2024-10-18";"29.19";"Buyee";"n/a";"";"0";""
"2175276";"NieR:Automata Ver1.1a - YoRHa No. 2 Type B - Premium Chokonose Figure (SEGA)";"Figuras";"Prepainted";"2024-07-12";"0";"";"4580779542810";"Owned";"1";"10/10";"2024-08-19";"0000-00-00";"2024-10-18";"120.89";"Buyee";"n/a";"";"0";""
"1826621";"Kono Subarashii Sekai ni Shukufuku o! 3 - Aqua - 1/7 (elCOCO)";"Figuras";"Prepainted";"2024-05-00";"0";"1/7";"4582705280575";"Owned";"1";"8/10";"2024-09-15";"0000-00-00";"2024-10-04";"22.70";"AmiAmi";"n/a";"";"0";""
"1605141";"Yofukashi no Uta - Nanakusa Nazuna - Luminasta (SEGA)";"Figuras";"Prepainted";"2024-01-19";"0";"";"";"Owned";"1";"10/10";"2024-09-15";"0000-00-00";"0000-00-00";"42.27";"AmiAmi";"n/a";"6afb0";"0";""
"2063321";"Overlord - Albedo - BiCute Bunnies (FuRyu)";"Figuras";"Prepainted";"2024-06-15";"0";"";"";"Owned";"1";"10/10";"2024-09-22";"0000-00-00";"2024-11-01";"87.16";"Buyee";"n/a";"";"0";""
"1087561";"Kimetsu no Yaiba - Kamado Nezuko - Pop Up Parade (Good Smile Company)";"Figuras";"Prepainted";"2021-07-27";"3545";"";"4580416942461";"Owned";"1";"10/10";"0000-00-00";"0000-00-00";"2024-11-01";"2.51";"Buyee";"n/a";"";"0";""
"2247777";"Hatsune Miku Project Diva Mega 39's - Hatsune Miku - Luminasta - Project Diva 15th Ver. (SEGA)";"Figuras";"Prepainted";"2024-09-20";"0";"";"";"Owned";"1";"7/10";"2024-11-01";"2024-11-30";"2024-12-19";"41.75";"Buyee";"n/a";"";"0";""
"2288151";"Overlord - Shalltear Bloodfallen - BiCute Bunnies (FuRyu)";"Figuras";"Prepainted";"2024-10-11";"0";"";"";"Owned";"1";"10/10";"2024-11-03";"2024-11-30";"2024-12-19";"25.44";"Buyee";"n/a";"";"0";""
"1697109";"Sono Bisque Doll wa Koi o Suru - Kitagawa Marin - Luminasta - Sparkling, After School (SEGA)";"Figuras";"Prepainted";"2024-02-22";"0";"";"";"Owned";"1";"6/10";"2024-11-03";"2024-11-30";"2024-12-19";"32.11";"Buyee";"n/a";"";"0";""
"1796843";"Shingeki no Kyojin The Final Season - Eren Kyojin - Eren Yeager - Ichiban Kuji - Ichiban Kuji Shingeki no Kyojin ~Jiyuu o Motomete~  (A Prize) - Mega Impact (Bandai Spirits)";"Figuras";"Prepainted";"2023-08-19";"773";"";"";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"3";""
"1724970";"Seishun Buta Yarou wa Odekake Sister no Yume o Minai - Sakurajima Mai - Artist MasterPiece+ - Bunny ver. (Taito)";"Figuras";"Prepainted";"2024-10-12";"0";"";"";"Owned";"1";"10/10";"2024-11-16";"2024-11-30";"2024-12-19";"41.75";"Buyee";"n/a";"";"0";""
"464602";"Zelda no Densetsu: Breath of the Wild - Link - Nendoroid  (#733) - Breath of the Wild ver. (Good Smile Company)";"Figuras";"Action/Dolls";"2020-01-28";"5091";"";"4580416909389";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"2";""
"2366456";"Dandadan - Ayase Momo - Luminasta - Vol.2 (SEGA)";"Figuras";"Prepainted";"2024-11-29";"0";"";"";"Owned";"1";"10/10";"2024-12-14";"0000-00-00";"2025-01-16";"83.40";"Buyee";"n/a";"";"0";""
"1429054";"Boku no Hero Academia - Bakugo Katsuki - Ichiban Kuji - Ichiban Kuji Boku no Hero Academia Next Generations!!  (B Prize) (Bandai Spirits, Family Mart)";"Figuras";"Prepainted";"2022-06-11";"618";"";"";"Owned";"1";"10/10";"2024-12-10";"0000-00-00";"2025-01-16";"55.82";"Buyee";"n/a";"";"0";""
"2364024";"Dandadan - Takakura Ken - Luminasta - Henshin, Vol.2 (SEGA)";"Figuras";"Prepainted";"2024-11-29";"0";"";"";"Owned";"1";"10/10";"2024-12-12";"0000-00-00";"2025-01-16";"86.62";"Buyee";"n/a";"";"0";""
"2356782";"Zelda no Densetsu: Tears of the Kingdom - Link - Figurizm Alpha (SEGA)";"Figuras";"Prepainted";"2024-12-26";"0";"";"";"Owned";"1";"10/10";"2024-12-26";"0000-00-00";"2025-02-21";"83.40";"Buyee";"n/a";"";"0";""
"1599546";"Original - Art Figure Selection - Katie Moon's Trick or Treat (Kotobukiya)";"Figuras";"Prepainted";"2023-06-26";"18000";"";"4934054045358";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";""
"1851301";"Naruto - Momochi Zabuza - Memorable Saga (Bandai Spirits)";"Figuras";"Prepainted";"2023-11-14";"0";"";"";"Owned";"1";"9/10";"2025-01-10";"0000-00-00";"2025-02-21";"45.14";"Buyee";"n/a";"";"0";""
"1766521";"Steins;Gate - Makise Kurisu - Coreful Figure (Taito)";"Figuras";"Prepainted";"2024-12-07";"0";"";"";"Ordered";"1";"";"2025-02-08";"0000-00-00";"0000-00-00";"21.46";"Buyee";"n/a";"";"0";""
"2376942";"Bleach - Kurosaki Ichigo - Ichiban Kuji - Ichiban Kuji Bleach Stirring Souls Vol.1  (Last One Prize) - Masterlise - Hollow (Bandai Spirits)";"Figuras";"Prepainted";"2024-11-15";"718";"";"";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";""
"2530491";"Bleach - Kurosaki Ichigo - Ichiban Kuji - Ichiban Kuji Bleach Stirring Souls Vol.2  (A Prize) - Masterlise - Uchinaru Hollow (Bandai Spirits)";"Figuras";"Prepainted";"2025-03-00";"773";"";"";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";""
"2486229";"Make Heroine ga Oosugiru! - Yanami Anna - Pop Up Parade - L (Good Smile Company)";"Figuras";"Prepainted";"2025-06-00";"8000";"";"4580416929899";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"2";""
"1077556";"Mushoku Tensei ~Isekai Ittara Honki Dasu~ - Roxy Migurdia - CA Works - 1/7 (Chara-Ani)";"Figuras";"Prepainted";"2023-03-27";"18000";"1/7";"4546098105945";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";""
"2175945";"Ijiranaide, Nagatoro-san 2nd Attack - Nagatoro Hayase - B-style - 1/4 - Bunny Ver. (FREEing)";"Figuras";"Prepainted";"2024-09-12";"30000";"1/4";"4570001512599";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";""
"1875116";"Sono Bisque Doll wa Koi o Suru - Kitagawa Marin - B-style - 1/4 - Bunny Ver. (FREEing)";"Figuras";"Prepainted";"2024-02-08";"36000";"1/4";"4570001512087";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";""
"1213421";"Kaguya-sama wa Kokurasetai: Tensai-tachi no Ren'ai Zunousen - Shinomiya Kaguya - B-style - 1/4 - Bunny Ver. (FREEing)";"Figuras";"Prepainted";"2022-01-27";"26000";"1/4";"4570001510298";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";""
"978291";"Kaguya-sama wa Kokurasetai: Tensai-tachi no Ren'ai Zunousen - Fujiwara Chika - B-style - 1/4 - Bunny Ver. (FREEing)";"Figuras";"Prepainted";"2021-04-21";"25000";"1/4";"4571245299567";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"5";""
"1784160";"Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai - Shinomiya Kaguya - BiCute Bunnies (FuRyu)";"Figuras";"Prepainted";"2023-09-00";"0";"";"";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"4";""
"1879548";"Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai - Fujiwara Chika - BiCute Bunnies (FuRyu)";"Figuras";"Prepainted";"2023-10-21";"0";"";"";"Wished";"1";"";"0000-00-00";"0000-00-00";"0000-00-00";"0.00";"";"n/a";"";"4";""